"coffee"|"company"|"rating"|"city"|"state"|"origin"|"origin_country"|"region"|"roast"|"description"
"Mexican Decaf Huatusco Cooperative"|"Green Mountain Coffee Roasters"|"86"|"Waterbury"|"Vermont"|"Southern Mexico"|"Mexico"|"CentralAmerica_Mexico"|"Medium-Dark"|"Sweet-toned, soft aroma with wood and molasses notes. In the cup medium body, very soft acidity, with flavor notes that in their sweet wood and fruity herb character distinctly resemble date. Clean, sweet, rather fast-fading finish."
"Bolivia Chijchipani"|"Green Mountain Coffee Roasters"|"89"|"Waterbury"|"Vermont"|"Caranavi growing region, Bolivia"|"Bolivia"|"South_America"|"Medium"|"Gentle, balanced and round. Light tangy notes in the aroma with hints of toast and geranium. In the cup soft chocolate and nut flavors are balanced by suggestions of citrus. Fairly clean in the finish with light nutty tones lingering in the long."
"Colombia Reserva Del Patron"|"Atomic Cafe Coffee Roasters"|"93"|"Beverly"|"Massachusetts"|"Narino Department, southern Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Very deep, complex profile that hints as much at Sumatra as it does at Colombia. Intense aroma dominated by earth and ripe, almost overripe fruit notes that together can be read as a dark, raisiny chocolate. Quiet acidity, medium body with syrupy mouthfeel, and continued richly earthy/fruity notes that at moments suggest pungent butterscotch, at other times elegantly cherryish dark chocolate. Lemon hints become more explicit in the sweet finish; a very slight hint of bitter astringency in the long."
"Ethiopia Yirgacheffe"|"Olympia Coffee Roasting"|"91"|"Olympia"|"Washington"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Aromas of flowers, crisp citrus and melon. Lively, floral toned acidity with smooth body. A sweeter version of citrus carries into the cup with more flowers and a hint of ferment that reads as blueberry. Fairly clean finish with mild toasty and nutty qualities."
"Tanzania Gombe Reserve"|"Green Mountain Coffee Roasters"|"91"|"Waterbury"|"Vermont"|"Kigoma growing region, western Tanzania"|"Tanzania"|"Africa"|"Medium-Dark"|"Very sweet-toned aroma with floral and honey notes and a balancing walnut crispness. In the cup gentle acidity, light but silky mouthfeel, and a continued giddy, honey-toned, floral sweetness as fresh but voluptuous as a tropical morning. The finish is delicate and rather short, but as cleanly refreshing as the rest of the profile."
"Special Reserve Guatemala Chajulense Fair-Trade Organic"|"Green Mountain Coffee Roasters"|"88"|"Waterbury"|"Vermont"|"Quiche Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Dark"|"A coffee distinguished more by a gently pungent, quiet richness than by any aromatic complexity. Restrained acidity, silky mouthfeel. Dark chocolate and nut hints carry from aroma through cup to the particularly sweet finish."
"Kenyan Highland Cooperatives Fair-Trade"|"Green Mountain Coffee Roasters"|"93"|"Waterbury"|"Vermont"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"Roundly balanced aroma; orange, chocolate, a hint of flowers. In the cup silky mouthfeel, crisp acidity. The orange notes turn pleasantly bittersweet (think fresh orange peel) and the hint of chocolate goes dark and raisiny. The orange notes carry deeply into the finish, with a revived suggestion of flowers."
"Colombian Fair-Trade Select"|"Green Mountain Coffee Roasters"|"87"|"Waterbury"|"Vermont"|"Southern Colombia"|"Colombia"|"South_America"|"Medium"|"A round bakers’ chocolate character in the aroma, with subtle berry, citrus and aromatic wood notes. Balanced acidity supports the dominant sweet chocolate tones in the cup. A long finish with fruit-toned cocoa complication, suggesting cocoa hulls or nibs."
"Sumatran Reserve Fair Trade Organic"|"Green Mountain Coffee Roasters"|"87"|"Waterbury"|"Vermont"|"Northern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Dark"|"Mildly toasty aroma, with sweet hints of flowers and orange-toned fruit. In the cup full body, straightforward toasty notes and, as the coffee cools, chocolate, nuts and tropical fruit. Pleasant cocoa in the long finish."
"Panama Esmeralda Especial"|"PT's Coffee Roasting Co."|"94"|"Topeka"|"Kansas"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Sweet-toned, crisply balanced aroma: milk chocolate, cherryish fruit, a hint of freshly tanned leather. In the cup silky mouthfeel, bright acidity, distinct cocoa, orange and berry notes, dry yet lush. The flavor notes carry with depth, elegance and great persistence from short finish through long."
"Konga Coop Ethiopia Yirgacheffe"|"Terroir Coffee"|"93"|"Acton"|"Massachusetts"|"Yirgacheffe growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Richly low-toned aroma: caramel, dark chocolate, fir. In the cup lightly syrupy mouthfeel, soft but vibrant acidity, with a deep, quiet, lavish complexity: distinct floral notes, dry wine- and berry-toned fruit, a hint of cherryish chocolate."
"Ethiopia Misty Valley"|"Olympia Coffee Roasting"|"89"|"Olympia"|"Washington"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Dark"|"A richly sweet, almost overripe, berry-like aroma, with hints of earthiness. Full and smooth mouthfeel with soft, moderately sweet acidity. Though not quite as intense as in the aroma, the berry notes carry into the cup, joining a fruit-toned chocolate note that can be found in cocoa nibs. The long, dry, baker’s chocolate finish turns slightly bitter as the coffee cools."
"Nicaragua Selva Negra"|"Allegro Coffee"|"88"|"Thornton"|"Colorado"|"Matagalpa, Nicaragua"|"Nicaragua"|"CentralAmerica_Mexico"|"Medium-Light"|"A balanced aroma combining mild tanginess with a mild, toasty sweetness. The acidity is balanced as well, softly sweet yet brisk. Medium to full bodied, with flavors of bright summer fruit and sweet chocolate. The sweet chocolate carries into a delicate finish."
"El Salvador Pacamara"|"The Roasterie"|"89"|"Kansas City"|"Missouri"|"Northwestern El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Medium"|"A sweet-toned aroma with hints of caramel, milk chocolate and a soft roasty note. In the cup, mild floral brightness, medium body, good sweetness enveloping distinct walnut-like notes. The nut tones persist pleasantly into the long finish."
"Brazil Daterra Opus 1 Exotic"|"Uncle Beanz"|"89"|"Perth Amboy"|"New Jersey"|"Cerrado growing region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium-Dark"|"Simple, balanced, quietly rich coffee. Sweet-toned and gently pungent in the cup with silky mouthfeel and limited but pleasing nuance: hints of chocolate, banana-like fruit, honeyish flowers."
"Colombia Reserva Especial"|"Bold ! Bean"|"89"|"Jacksonville"|"Florida"|"Bucaramanga growing region, Colombia"|"Colombia"|"South_America"|"Dark"|"Low-toned, rich aroma: molasses, nut, floral topknots. In the cup smooth, deep, simple. The roast-influenced sweet caramel and molasses notes grow crisper under the influence of a gentle acidity, taking on a dark chocolate nuance."
"Ethiopia Sidamo Koratie Dry Process"|"Flying Goat Coffee"|"90"|"Healdsberg"|"California"|"Sidamo growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Sweet berry-toned aroma with deepening hints of aromatic wood. Balanced sweet, winy acidity, with a smooth and syrupy mouthfeel. Concentrated dried blueberry and a fruit punch-like sweetness in the cup are balanced by a slightly musty note that reads as pleasant nuttiness. Long, dry finish with lingering notes of nut and cedar."
"Organic Ethiopia Sidamo Moredocofe"|"Batdorf & Bronson Coffee Roasters"|"90"|"Olympia"|"Washington"|"Sidamo growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"A light floral aroma mingles with hints of tangy fruit as well as sweet toast and nuts. Bright, balanced, somewhat winy acidity, lean but silky mouthfeel. Complex flavors combine mild citrus, jasmine, and berries with roasted nuts, chocolate and a hint of juniper. A sweet baker’s chocolate finish lingers."
"Panama Carmen Estate"|"Klatch Coffee"|"91"|"San Dimas"|"California"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"A complex aromatic profile with hints of caramel, honey, fruit, toasted grains and chocolate. Bright, tangy acidity, with a full, elegant mouthfeel. A well balanced cup, tangy Key lime and juicy orange-like tones fade toward a round, satisfying sweetness. A clean aftertaste overall, with slight hints of melted milk chocolate lingering in the long finish."
"Santa Isabel Guatemala"|"PT's Coffee Roasting Co."|"92"|"Topeka"|"Kansas"|"Santa Rosa Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Light"|"Simple, lush aroma with nut and molasses notes. In the cup syrupy mouthfeel, smooth acidity, powerful sweetness. The molasses notes round richly toward a floral-toned honey, balanced by a crisp, dry walnut. Finishes richly with a continued dry, edge-of-astringent walnut note."
"Brazil Daterra Sunrise"|"Crescent Moon Coffee & Tea"|"92"|"Mickleton"|"New Jersey"|"Cerrado growing region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium"|"Sweet-toned, deeply pungent aroma: blackberry, black currant, nut. In the cup soft acidity, lightly syrupy body, great depth and sweetness. The dry berry notes take on a crisp dark chocolate character that carries into the long, rich finish."
"Panama Esmeralda Auction Lot 7"|"Flying Goat Coffee"|"93"|"Healdsberg"|"California"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Sweet-toned, gently bright aroma: flowers, flowering grass, honey, a hint of cocoaish chocolate. In the cup lushly tart, deeply floral (jasmine, honeysuckle), with continued honey and crisp cocoa notes. The flowers in particular carry into a sweet finish."
"Panama Esmeralda Lot 9"|"Klatch Coffee"|"94"|"San Dimas"|"California"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Sweetly bright aroma, with tight-knit complexity: flowers, cocoa, honey, aromatic wood. In the cup lightly syrupy in mouthfeel, sweetly and lushly acidy but superbly balanced, with deep-toned night floral notes, orangy citrus and continued hints of cocoa and aromatic wood. Rich, flavor-saturated finish with a very slight astringency essentially lost in flowers."
"La Esmeralda Panama"|"Terroir Coffee"|"95"|"Acton"|"Massachusetts"|"Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Medium-Light"|"Richly and sweetly bright aroma with aromatic wood, peach-toned fruit and cocoa notes.  In the cup quietly acidy, elegantly crisply sweet, deeply floral, with distinct peach-toned fruit and hints of cocoaish chocolate that carry into a long, flavor-glistening finish."
"Ethiopia Awassa Special"|"Paradise Roasters"|"94"|"Ramsey"|"Minnesota"|"Southern Ethiopia"|"Ethiopia"|"Africa"|"Light"|"Sweet, fruit-floral aroma, with a distinct blueberry note and a hint of black currant. In the cup, bright fruit-toned acidity, with juicy, medium to full body. Intense sweet blueberry continues in the cup, with light hints of citrus and night flowers. Dry berry tones linger in the finish."
"Guatemala Huehuetenango"|"Diedrich Coffee"|"89"|"Irvine"|"California"|"Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Dark"|"Rich, bitter-sweet chocolate aroma, with a sweet, round tone and a hint of nuts. In the cup, balanced acidity, with medium body. Straight forward, yet intense bitter-sweet chocolate notes carry into the cup, with a slight hint of earthiness. Cocoa tones linger in the finish."
"Daterra Calabria Style Espresso"|"Terroir Coffee"|"93"|"Acton"|"Massachusetts"|"Cerrado growing region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium"|"Sweet-toned, deep, slightly smoky aroma: aromatic wood, a hint of dark chocolate. In the small cup medium-bodied, but the pungent dark chocolate notes amplify and move forward, complicated by aromatic wood, walnut, even licorice. Long, resonant, chocolate-saturated finish. Dominates milk with a smoky heaviness that resolves quickly into a milk-sweetened version of the now familiar dark chocolate note."
"La Esperanza Colombia"|"Terroir Coffee"|"92"|"Acton"|"Massachusetts"|"Huila growing region, Colombia"|"Colombia"|"South_America"|"Medium-Light"|"A sweet tangerine aroma predominates, with a light floral quality reminiscent of Muscat dessert wine. Bright floral toned acidity carries into a subtly complex cup; hints of sweet caramel, citrus, cocoa and aromatic wood. A delicate candy-like sweetness in the finish."
"Kenya AA Kichwa Tembo"|"Java Blend Coffee Roasters"|"90"|"Halifax"|"Nova Scotia"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Quietly bright in aroma and cup: orange, black currant, blackberry, cedar, a hint of cocoaish dark chocolate. Balanced acidity, medium body. The dark chocolate grows more explicit in the rich finish."
"Kenya Peaberry Kaliluni Cooperative"|"Kickapoo Coffee"|"91"|"Viroqua"|"Wisconsin"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Soft, sweet-toned aroma: crisp black cherry, honey, a hint of flowers. In the cup rich acidity, syrupy mouthfeel, pungent but lush: dry berry, hints of flowers, flowering grass, herb. The dry finish remains on the rich side of astringent."
"Kenya Wagumuga"|"Paradise Roasters"|"91"|"Ramsey"|"Minnesota"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Crisp but symphonically complex aroma: cherryish fruit, honey, a hint of butter and pungent undertones of cedar and leather. In the cup rich acidity, lightly syrupy mouthfeel, and continued deep, dry fruit notes suggesting a cedar-toned cherry. The finish is as rich as the cup but as the flavor fades the dry character tightens toward astringency."
"Kenya Single Lot Gaturiri 4815"|"Counter Culture Coffee"|"92"|"Durham"|"North Carolina"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"A bright, citrusy profile. Very sweet-toned aroma with tight-knit complexity: flowers, pipe tobacco, and a soft, orangy citrus. In the cup pronounced acidity, medium body, richly distinct floral notes with continued citrus notes that turn toward a sweet but tart grapefruit under the influence of the acidity."
"Kenya Fair Trade Kangocho"|"Terroir Coffee"|"92"|"Acton"|"Massachusetts"|"Nyeri growing region, south-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweet-toned, softly acidy aroma, with crisp, cedary fruit notes (aka blackcurrant) complicated by hints of flowers and dark chocolate. In the cup powerfully acidy, dry, pungent but juicy. with citrusy berry and a continued nod toward a cocoaish dark chocolate. The finish stays on the rich side of astringent."
"Kenya Thangathi AA"|"49th Parallel Roasters"|"93"|"Burnaby"|"British Colombia"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Soft, balanced, sweet-toned aroma: flowers, cedar, chocolate. In the cup crisply dry with a gentle underlying sweetness: night flowers, black currant, cocoa. The cocoa note in particular carries from cup to long, quietly resonant finish."
"Kenya Peaberry Kii"|"Klatch Coffee"|"93"|"San Dimas"|"California"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Crisp, gently bright aroma: fir, blackberry. Gentle but rich in the cup: delicate acidity, medium to light body, dry yet juicy berry notes, flowers, a hint of chocolate. Berry notes saturate the dry, elegant finish."
"Kenya AA Gachatha Estate"|"Willoughby's Coffee & Tea"|"93"|"Branford"|"Connecticut"|"South-central Kenya"|"Kenya"|"Africa"|"Light"|"A dramatically light roast of a flawless coffee nets an intensely high-toned, delicate cup. Honey and flowers in the aroma, in the cup sweet-toned, wine-like acidity, silky mouthfeel, continued honey, flowers and white wine with a pungent hint of pipe tobacco. The finish is rich and dry without imbalancing astringency."
"Kenya Peaberry Nyeri-Tatu"|"JBC Coffee Roasters"|"94"|"Madison"|"Wisconsin"|"South-central Kenya"|"Kenya"|"Africa"|"Medium"|"Rich aroma with nut and blackberry notes that deepen and resonate in the cup, adding hints of lemon, red wine, flowers, cocoa. Poised and balanced acidity, roundly rich finish, shimmers of flowers."
"El Salvador Pacamara Tierra Fertil Los Alpes Reserva"|"JBC Coffee Roasters"|"94"|"Madison"|"Wisconsin"|"Northeastern El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Light"|"A very light roast preserves the distinctive and complex aromatics. Crisp but sweet-toned aroma: toast, orange citrus and hints of dry berry and flowers. In the cup the acidity is balanced and rich, the mouthfeel lightly syrupy and the flavor pungently malty with continuing toast, orange, dry berry and floral notes. Long, rich finish."
"Fair Trade Organic Guatemala Maya Ixil Quiche"|"JBC Coffee Roasters"|"90"|"Madison"|"Wisconsin"|"Quiche Department, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Light"|"A very light roast preserves the essential meadowy sweetness and delicacy of this quiet, pure coffee. Notes of fir, honey, molasses and cherry in aroma and cup. The acidity is light-footed and sweet-toned, the mouthfeel silky. Surprisingly rich finish with a very slight woody flatness in the long."
"Kenya AA"|"Don Francisco's Coffee"|"90"|"Vernon"|"California"|"Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Pleasantly sweet aroma: black current and mandarin orange. Bright floral acidity, with medium to full, though slightly lean, body. The elegantly pungent fruit note cuppers call black currant is evident in the cup, along with a tangy yet sweet berry-like note. A clean finish with some lingering hints of sweet berries."
"Celebes Kalossi"|"Don Francisco's Coffee"|"87"|"Vernon"|"California"|"Toraja (formerly Kalossi) growing region, southwestern Celebes (now Sulawesi), Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium"|"Deep, rich, sweet-toned aroma: aromatic wood, hints of nut and cocoa. Fat and full bodied with a slightly rough mouthfeel. In the cup, more cedar-like wood tones and subtle sweet fruit notes that read as dried cumquat, berry and apricot. A pleasant dryness in the short finish, with a hint of astringency in the long."
"Papua New Guinea"|"Don Francisco's Coffee"|"89"|"Vernon"|"California"|"Cental Papua New Guinea"|"Papua_New_Guinea"|"Asia_Indonesia"|"Medium"|"Sweetly and lavishly tart aroma: orange, butterscotch, hints of nut and cherry. In the cup quiet, vibrant acidity, lightly syrupy mouthfeel, continued orange and cherry notes with suggestions of dry berry and chocolate. Simple but rich finish."
"Guatemala Xelaju Organic"|"Pachamama Coffee Cooperative"|"88"|"Quetzaltenango"|"Guatemala"|"Quetzaltenango region, southwestern Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Dark"|"An apparent slow roast deepens and rounds the profile. Hints of fir, milk chocolate, possibly butter in the aroma. In the cup muted acidity, rough but full mouthfeel, continued aromatic wood and chocolate notes, with hints of flowers and butter. The chocolate notes carry into the rich, dry finish."
"Tanzania Peaberry Fair-Trade/Organic"|"Rusty Car Coffee"|"88"|"Athol"|"Idaho"|"Mt. Kilimanjaro region, northern Tanzania"|"Tanzania"|"Africa"|"Dark"|"An autumnal sort of coffee: rich, deep, with notes of smoky wood, wet fallen leaves and humus in both nose and cup, all supported by a deep underlying sweetness. Turns from deep to rather heavy in a tongue-coating finish."
"Nicaragua Selva Negra"|"Greyfriar's Coffee and Tea"|"89"|"Chattanooga"|"Tennessee"|"Segovia growing region, Nicaragua"|"Nicaragua"|"CentralAmerica_Mexico"|"Medium-Dark"|"Rich, deep, sweetly low-toned coffee. Nut, cedar, hints of orange and chocolate in the aroma. In the cup syrupy in mouthfeel with continued hints of nut, cedar, molasses, and a cocoa-buttery chocolate. Simple but sweet finish."
"Guatemala Antigua Finca El Valle"|"Batdorf & Bronson Coffee Roasters"|"89"|"Olympia"|"Washington"|"Antigua valley, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium"|"Mildly tangy aromatic notes, with soft hints of nuts and chocolate. A bright acidity is softened and rounded by faint suggestions of fruit. The balance continues in the cup with tart lime tones standing out in front, fading to a pleasant nuttiness. Hints of chocolate, spice and aromatic wood linger in the long, dry finish."
"Colombian"|"Reading Coffee Roasters"|"89"|"Birdsboro"|"Pennsylvania"|"Colombia"|"Colombia"|"South_America"|"Medium-Light"|"Sweet-toned, bright aroma: gently pungent nut and fir notes, hints of coffee fruit (tart cherry), butter, chocolate. The aromatics simplify in the quiet, balanced cup; the tart fruit deepens toward brandy, the hint of buttery chocolate persists. Simple but clean, sweet finish."
"Micro-Lot Colombia La Golondrina Duviel Coca"|"Counter Culture Coffee"|"90"|"Durham"|"North Carolina"|"Huila growing region, Colombia"|"Colombia"|"South_America"|"Medium"|"Roundly balanced, quietly rich coffee. Soft aroma with nut and chocolate notes. In the cup gently rich acidity, lightly syrupy mouthfeel, cherry-chocolate notes that carry into a simple but full finish."
"Ethiopia Yergacheffe, Inkoop Hafursa"|"Wildfire Coffee Roasters"|"90"|"San Antonio"|"Texas"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"A crisp and distinctive Ethiopia wet-processed profile. Floral and tangy orange notes in the aroma with a sweet hint of honey. In the cup, vibrant, fruit-toned acidity, medium body, somewhat soft mouthfeel. Tangy citrus turns toward sweet tangerine and tropical fruit with an underlying pungent toastiness. In the finish a slight hint of astringency and a softly bitter walnut note."
"Fair-Trade/Organic Brazil"|"Ancora Coffee Roasters"|"90"|"Madison"|"Wisconsin"|"Brazil"|"Brazil"|"South_America"|"Medium-Dark"|"Sweet-toned and balanced aroma, with a tight-knit, quiet complexity leading with semi-sweet chocolate with support from savory herb, sweet orange, nut. In the cup medium bodied but smooth, delicate but rich. The nut-toned, semi-sweet chocolate declares itself distinctly, carrying into the long, rich finish."
"Ethiopian Organic"|"The Roasterie"|"91"|"Kansas City"|"Missouri"|"Southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Pungent nut, hints of herb and earth in the sweet-toned aroma. In the cup full mouthfeel, crisp earth notes, dry, berryish fruit and a slight herby or gingery tingle. Rich, sweet, berry-toned finish."
"Ethiopian Misty Valley"|"Coffee Emergency"|"91"|"Lincoln"|"Nebraska"|"Yirgacheffe growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium-Dark"|"Big, rich, sweet fruit-toned aroma: blueberries, Port wine and a hint of flowers. In the cup, a pleasant fermented version of berry and wine tones develop, as well as a fruity dark chocolate-like quality. Pleasingly smooth aftertaste, with a suggestion of citrus peel lingering in the long finish."
"Ruvuma Tanzanian Peaberry"|"The Roasterie"|"95"|"Kansas City"|"Missouri"|"Ruvuma growing region, southwestern Tanzania"|"Tanzania"|"Africa"|"Medium"|"Very sweet-toned and bright aroma: lemon, orange, flowers, cherry, a hint of honey. The acidity, rich and enveloped in sweetness, lifts the cup and carries into the long finish. Continued lemon, cherry and floral-toned honey notes."
"Costa Rica La Minita"|"Klatch Coffee"|"92"|"San Dimas"|"California"|"Tarrazu growing region, central Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Rich, sweetly bright and perfectly balanced throughout the profile. Cherry, molasses and nut notes in the aroma; in the cup full body and lightly syrupy mouthfeel, with dusk flower notes and continued hints of cherry, nut, and a perhaps chocolate-inclined molasses. Simple but long, sweetly rich finish."
"Ethiopia Sidamo Natural Korate"|"Atomic Cafe Coffee Roasters"|"94"|"Beverly"|"Massachusetts"|"Sidamo growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Intensely floral and cherry-toned aroma with rounding hints of chocolate and pipe tobacco. In the cup balanced acidity, lightly syrupy mouthfeel, and almost sugary berry-toned sweetness, balanced by a crisp, slightly vegetal dry edge, think cacao or (if you know it) tamarind. Long, opulently rich finish."
"Costa Rica La Magnolia"|"Atomic Cafe Coffee Roasters"|"93"|"Beverly"|"Massachusetts"|"Tres Rios growing region, central Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium-Light"|"In the aroma round and balanced, with dusk flowers, orange and nut notes. In the cup continued classic balance: quiet but assertive acidity buffered by great sweetness, crisp fruity cocoa and continued nut and floral notes. Clean, sweetly rich, long finish."
"Limu Gomma Ethiopia"|"PT's Coffee Roasting Co."|"92"|"Topeka"|"Kansas"|"Limu growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Very sweet-toned aroma: honey, cherryish coffee fruit, flowering grass. In the cup quietly vibrant acidity, lightly syrupy mouthfeel, balanced structure, with cocoa and honey notes that carry into a long, resonantly flavor-saturated finish."
"El Salvador Finca Los Planes Reserva del Madador Peaberry"|"PT's Coffee Roasting Co."|"91"|"Topeka"|"Kansas"|"El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Medium"|"Unusual profile: molasses, pine, flowers, cherry, richly low-toned acidity, syrupy mouthfeel.  In the cup the molasses-like notes take on a cocoaish or dark chocolate cast. Lifts and lightens in a clean, sweet finish."
"Tanzania Gombe"|"PT's Coffee Roasting Co."|"90"|"Topeka"|"Kansas"|"Gombe growing region, western Tanzania"|"Tanzania"|"Africa"|"Medium-Light"|"A light-medium roast of a very pure coffee that preserves the taste of the coffee orchard: tartly sweet coffee fruit, honey, flowers, nut. Delicate acidity, lean but silky mouthfeel, cleanly sweet finish."
"Kenya AA Nyeri Tatu"|"JBC Coffee Roasters"|"94"|"Madison"|"Wisconsin"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Dark"|"Buttery aroma: nut, flowers, dry berry. Rich acidity, medium body. The elegantly pungent berry note cuppers call black currant dominates in the cup, but supported by a profound underlying sweetness that gives the berry a dark chocolate depth. Flowers revive in the fine, rich, flavor-saturated finish."
"El Salvador Finca San Jose Cup of Excellence #10 Coffee"|"Barefoot Coffee Roasters"|"87"|"Santa Clara"|"California"|"Ahuachapan region, El Salvador"|"El_Salvador"|"CentralAmerica_Mexico"|"Medium-Light"|"A light-roasted coffee rather too bright and lean-bodied to fulfill conventional expectations for espresso, though shimmeringly floral and citrusy throughout the profile. “Very clean and floral in the aroma” for co-taster Heather Perry (87). In the small cup refreshingly if rather sharply citrus, with “delicate butter and floral notes” (Ken, 87) that carry into an impressive, sweetly dry finish. The delicate floral and citrus profile fades in milk, however, retaining a tart sweetness but quite lean in mouthfeel."
"Bolivia Chicaloma Cup of Excellence 2007 Organic"|"Olympia Coffee Roasting"|"87"|"Olympia"|"Washington"|"Sud-Yungas region, Bolivia"|"Bolivia"|"South_America"|"Medium-Dark"|"Mouthfeel and presence trumped aromatics. Both co-taster Heather Perry (87) and Ken (87) admired smooth, lightly syrupy mouthfeel in the small cup and solid balance in milk. Aromatics were relatively subdued and simple, however: “spicy” with “light lemon undertones” for Heather, “smoky chocolate” with floral hints for Ken (87)."
"Australia XF 2007 Bundja Single-Origin Espresso"|"PT's Coffee Roasting Co."|"88"|"Topeka"|"Kansas"|"Northern Rivers region, New South Wales, Australia"|"Australia"|"Asia_Indonesia"|"Medium-Dark"|"Ken (88) showed more enthusiasm for the small cup than co-taster Heather Perry (87), finding the aroma simple but “high-toned and elegant,” the body leanish but smooth, the flavor pungently smoky (for Heather pleasantly tobacco notes in the aroma turned “ashy” in the cup), the finish sweet and long. Both found the presence in milk simple but “balanced and sweet” (Heather)."
"Ethiopan Ghimbi Wollega Volcafe Pick"|"Barefoot Coffee Roasters"|"88"|"Santa Clara"|"California"|"Wollega (also Welega) growing region, western Ethiopia"|"Ethiopia"|"Africa"|"Medium-Light"|"Both Ken (89) and co-taster Heather Perry (87) admired the aroma: “creamy berry” for Heather, “bananaish fruit with floral top notes” for Ken. But for both the mouthfeel was a bit lean in the small cup and the flavor a bit sharp, though Ken admired the continued floral notes. For both tasters the profile smoothed in the long finish, with a sweet flavor persistence that suggested chocolate for Ken, “blackberry pie” for Heather. Heather found it lost sweetness in milk but Ken was pleased, finding it crisp with “true chocolate” notes."
"Guatemala Finca El Injerto Espresso Roast"|"Pacific Bay Coffee Company"|"90"|"Berkeley"|"California"|"Huehuetenango growing region, Guatemala"|"Guatemala"|"CentralAmerica_Mexico"|"Medium-Dark"|"A simple, rich, roast-influenced espresso that particularly came into its own in milk. In the small cup deep, roundly dark-chocolate-toned aroma, full body, gently pungent flavor and finish with roast-influenced notes that co-taster Heather Perry (88) associated with herbs (particularly thyme) and Ken (91) with cedar, night flowers and black cherry. Heather was particularly impressed by this coffee’s performance in milk, where she found the herbal character she admired persisted “beautifully.”"
"Brazil Fazenda Sao Joao Espresso"|"Ecco Caffe"|"90"|"Santa Rosa"|"California"|"Coromandel growing region, Minas Gerais State, Brazil"|"Brazil"|"South_America"|"Medium-Dark"|"Both Ken (90) co-taster Heather Perry (89) found this sample pleasingly and crisply fruity; “Meyer lemon” notes dominated for Heather, spicy floral and orange for Ken. Despite a tendency to express itself in floral and fruit notes, the shot maintained balance throughout and showed well in milk, with attractive hints of chocolate and (for Ken) spicy, rose-toned flowers."
